,Unnamed: 0,Temperature,Humidity Sensor,UUT1_I_S1,UUT1_I_S2,UUT1_I_S3,UUT1_I_S4,UUT2_I_S1,UUT2_I_S2,UUT2_I_S3,UUT2_I_S4,UUT3_I_S1,UUT3_I_S2,UUT3_I_S3,UUT3_I_S4,FinalConcAcetone,FinalConcCO,FinalConcEtOH
1449509.0,1449509.0,25.0,39.998741,1.2875e-08,1.4653645833333332e-08,8.484375000000002e-09,9.609375e-10,3.981770833333333e-09,4.526041666666667e-09,1.1609375e-08,3.59375e-10,1.1403645833333334e-08,9.28125e-09,1.5937499999999994e-09,-4.122395833333333e-09,6.004374615791505,8.25458548370956,26.01895666842985
1449510.0,1449510.0,25.0,39.994545,1.5713541666666668e-08,1.930208333333333e-08,1.0403645833333337e-08,1.9765625e-09,6.283854166666667e-09,8.403645833333335e-09,1.3343749999999998e-08,1.3463541666666664e-09,1.4515625e-08,1.4169270833333337e-08,3.5390625e-09,-3.244791666666667e-09,6.004374615791505,8.25458548370956,26.01895666842985
1449511.0,1449511.0,25.0,39.994545,1.92890625e-08,2.4971354166666672e-08,1.2877604166666669e-08,3.09375e-09,8.924479166666668e-09,1.3078124999999998e-08,1.5174479166666667e-08,2.466145833333333e-09,1.8065104166666663e-08,2.00390625e-08,5.9817708333333355e-09,-2.403645833333333e-09,6.004374615791505,8.25458548370956,26.01895666842985
1449512.0,1449512.0,25.0,39.994545,2.33125e-08,3.1924479166666675e-08,1.5880208333333333e-08,4.4921875e-09,1.2223958333333333e-08,1.8940104166666666e-08,1.778385416666667e-08,3.8098958333333345e-09,2.24453125e-08,2.7322916666666664e-08,9.078125e-09,-1.138020833333333e-09,6.004374615791505,8.25458548370956,26.01895666842985
1449513.0,1449513.0,25.0,39.994545,2.82734375e-08,4.0263020833333335e-08,1.96171875e-08,6.09375e-09,1.615625e-08,2.5927083333333337e-08,2.0854166666666667e-08,5.5963541666666675e-09,2.7770833333333336e-08,3.625260416666668e-08,1.2783854166666668e-08,4.635416666666667e-10,6.004374615791505,8.25458548370956,26.01895666842985
1449514.0,1449514.0,25.0,39.994545,3.4338541666666675e-08,5.040625e-08,2.409375e-08,7.947916666666669e-09,2.0875e-08,3.44453125e-08,2.4546875e-08,7.5703125e-09,3.3903645833333334e-08,4.6872395833333335e-08,1.721875e-08,2.153645833333333e-09,6.004374615791505,8.25458548370956,26.01895666842985
1449515.0,1449515.0,25.0,39.994545,4.1453125e-08,6.234375000000001e-08,2.959375e-08,1.0325520833333334e-08,2.6458333333333337e-08,4.4703125000000017e-08,2.888802083333333e-08,9.921875e-09,4.1166666666666665e-08,5.946354166666668e-08,2.2734375e-08,4.369791666666667e-09,6.004374615791505,8.25458548370956,26.01895666842985
1449516.0,1449516.0,25.0,39.994545,4.9513020833333335e-08,7.655208333333337e-08,3.5859375e-08,1.29921875e-08,3.3140625e-08,5.6898437500000016e-08,3.41953125e-08,1.2661458333333334e-08,4.983854166666666e-08,7.450520833333334e-08,2.912239583333333e-08,7.002604166666667e-09,6.004374615791505,8.25458548370956,26.01895666842985
1449517.0,1449517.0,25.0,39.994545,5.920833333333335e-08,9.324739583333333e-08,4.3606770833333335e-08,1.640104166666667e-08,4.065104166666667e-08,7.10546875e-08,4.0494791666666674e-08,1.5861979166666673e-08,5.960677083333334e-08,9.20078125e-08,3.6828125e-08,9.875e-09,6.004374615791505,8.25458548370956,26.01895666842985
1449518.0,1449518.0,25.0,39.994545,7.033333333333334e-08,1.127447916666667e-07,5.2486979166666665e-08,2.0098958333333332e-08,4.9546875e-08,8.769791666666667e-08,4.7986979166666664e-08,1.9541666666666668e-08,7.1265625e-08,1.1263020833333338e-07,4.59609375e-08,1.3424479166666668e-08,6.004374615791505,8.25458548370956,26.01895666842985
